PROD_ID,DATE_EXTRACTION,COMPETITOR,COMPETITOR_PRICE,PAY_TYPE
P6,1/30/2015 8:11:38,C3,18980,1
P6,1/30/2015 8:11:38,C1,18980,1
P6,1/30/2015 8:11:38,C6,19999,1
P6,1/31/2015 20:10:14,C2,189488,2
P6,1/31/2015 20:10:14,C3,189488,2
P6,1/31/2015 20:10:14,C1,189488,2
P6,1/31/2015 20:10:14,C6,19999,2
P6,1/31/2015 20:10:05,C1,189662,1
P6,1/31/2015 20:10:05,C2,21990,1
P6,1/31/2015 20:10:05,C3,189598,1
P6,1/31/2015 20:10:05,C6,20990,1
P6,1/30/2015 8:11:38,C2,18980,1
P6,3/16/2015 20:10:05,C4,15990,1
P6,3/16/2015 20:10:05,C2,14391,1
P6,3/16/2015 20:10:05,C1,18580,1
P6,3/16/2015 20:10:05,C6,237987,1
P6,3/16/2015 20:10:05,C3,14391,1
P6,2/17/2015 8:10:23,C1,18859,1
P6,2/17/2015 8:10:23,C3,18590,1
P6,2/17/2015 8:10:23,C6,19990,2
P6,2/17/2015 8:10:23,C2,186915,2
P6,2/17/2015 8:10:23,C4,215502,2
P6,2/17/2015 8:10:23,C1,18859,2
P6,2/17/2015 8:10:23,C3,18590,2
P6,2/17/2015 8:11:34,C2,19940,2
P6,2/17/2015 8:11:34,C6,19980,2
P6,2/17/2015 8:11:34,C4,21990,2
P6,2/17/2015 8:11:34,C3,19940,2
P6,2/17/2015 8:11:34,C1,19940,2
P6,2/17/2015 8:10:23,C6,19990,1
P6,2/17/2015 8:10:23,C2,21990,1
P6,2/17/2015 8:10:23,C4,21990,1
P6,2/17/2015 8:11:34,C2,19940,1
P6,2/17/2015 8:11:34,C6,19980,1
P6,2/17/2015 8:11:34,C4,21990,1
P6,2/17/2015 8:11:34,C3,19940,1
P6,2/17/2015 8:11:34,C1,19940,1
P6,2/12/2015 20:10:24,C3,18860,1
P6,2/12/2015 20:10:24,C6,21990,1
P6,2/12/2015 20:10:24,C2,18850,1
P6,2/12/2015 20:10:24,C4,21990,1
P6,2/12/2015 20:10:24,C1,188499,1
P6,2/12/2015 8:10:24,C6,19990,2
P6,2/12/2015 8:10:24,C2,186915,2
P6,2/12/2015 8:10:24,C1,188499,2
P6,2/12/2015 8:10:24,C3,18590,2
P6,2/12/2015 20:10:24,C1,188499,2
P6,2/12/2015 20:10:05,C6,19990,2
P6,2/12/2015 20:10:05,C2,186915,2
P6,2/12/2015 20:10:05,C4,215502,2
P6,2/12/2015 20:10:05,C1,18849,2
P6,2/12/2015 20:10:05,C3,18590,2
P6,2/12/2015 20:10:05,C6,19990,1
P6,2/12/2015 20:10:05,C2,21990,1
P6,2/12/2015 20:10:05,C4,21990,1
P6,2/12/2015 20:10:05,C1,18849,1
P6,2/12/2015 20:10:24,C2,18850,2
P6,2/12/2015 20:10:05,C3,18590,1
P6,2/12/2015 20:10:24,C6,21990,2
P6,2/12/2015 20:10:24,C4,21990,2
P6,2/12/2015 20:10:24,C3,18860,2
P6,3/5/2015 20:10:19,C4,186915,2
P6,3/5/2015 20:10:19,C6,237987,2
P6,3/6/2015 8:10:22,C4,21990,1
P6,3/6/2015 8:10:22,C1,21990,1
P6,3/6/2015 8:10:22,C6,237987,1
P6,3/5/2015 20:10:19,C1,21990,2
P6,2/18/2015 8:10:23,C3,18590,2
P6,2/18/2015 8:11:55,C1,19940,2
P6,2/18/2015 8:11:55,C1,19940,1
P6,2/18/2015 8:10:23,C3,18590,1
P6,2/17/2015 8:10:23,C2,21990,1
P6,2/18/2015 20:10:15,C1,19990,2
P6,2/18/2015 8:10:23,C2,186915,2
P6,2/17/2015 8:10:23,C2,186915,2
P6,2/18/2015 8:10:23,C2,21990,1
P6,2/19/2015 8:11:24,C6,19980,2
P6,2/17/2015 8:10:23,C3,18590,1
P6,2/19/2015 20:10:15,C6,19980,1
P6,2/17/2015 8:10:23,C3,18590,2
P6,3/9/2015 20:10:04,C2,18590,1
P6,3/9/2015 20:10:04,C6,237987,1
P6,3/9/2015 20:10:04,C3,18590,1
P6,3/9/2015 20:10:04,C1,185899,1
P6,3/9/2015 20:10:04,C4,15990,1
P6,3/9/2015 20:10:13,C3,181704,1
P6,3/9/2015 20:10:04,C2,18590,2
P6,3/9/2015 20:10:04,C6,237987,2
P6,3/9/2015 20:10:04,C3,18590,2
